order_item_id,order_id,product_id,quantity,discount
OI700001,O50000,P2011,3,0.2
OI700002,O50001,P2002,4,0.0
OI700003,O50001,P2008,3,0.15
OI700004,O50002,P2005,5,0.0
OI700005,O50002,P2002,5,0.1
OI700006,O50002,P2006,1,0.05
OI700007,O50003,P2010,5,0.1
OI700008,O50003,P2006,1,0.0
OI700009,O50003,P2006,3,0.0
OI700010,O50004,P2008,5,0.2
OI700011,O50004,P2005,2,0.2
OI700012,O50005,P2004,4,0.0
OI700013,O50005,P2006,0,0.2
OI700014,O50005,P2001,5,0.05
OI700015,O50006,P2008,4,0.0
OI700016,O50007,P2002,3,0.0
OI700017,O50008,P2001,4,0.2
OI700018,O50008,P2009,5,0.2
OI700019,O50008,P2001,2,0.15
OI700020,O50009,P2009,4,0.2
OI700021,O50009,P2004,2,0.0
OI700022,O50010,P2004,3,0.1
OI700023,O50011,P2010,4,0.0
OI700024,O50011,P2006,4,0.05
OI700025,O50011,P2006,4,0.15
OI700026,O50012,P2006,-2,0.05
OI700027,O50012,P2009,3,0.1
OI700028,O50012,P2003,3,0.05
OI700029,O50013,P2011,4,0.1
OI700030,O50013,P2012,5,0.1
OI700031,O50014,P2005,5,0.05
OI700032,O50014,P2004,1,0.2
OI700033,O50014,P2004,5,0.0
OI700034,O50015,P2006,3,0.0
OI700035,O50015,P2001,2,0.1
OI700036,O50016,P2006,2,0.05
OI700037,O50016,P2008,3,0.2
OI700038,O50016,P2006,3,0.0
OI700039,O50017,P2011,2,0.1
OI700040,O50018,P2001,3,0.05
OI700041,O50018,P2002,3,0.1
OI700042,O50019,P2007,4,0.05
OI700043,O50020,P2008,4,0.0
OI700044,O50020,P2010,2,0.15
OI700045,O50020,P2010,2,0.05
OI700046,O50021,P2008,4,0.1
OI700047,O50022,P2004,3,0.2
OI700048,O50023,P2005,4,0.05
OI700049,O50024,P2011,2,0.15
OI700050,O50024,P2010,4,0.0
OI700051,O50024,P9999,2,0.0
OI700052,O50025,P2008,3,0.05
OI700053,O50026,P2003,3,0.15
OI700054,O50027,P2004,3,0.0
OI700055,O50027,P2003,1,0.1
OI700056,O50028,P2007,4,0.05
OI700057,O50028,P2011,5,0.0
OI700058,O50029,P2003,2,0.1
OI700059,O50029,P2001,2,0.0
OI700060,O50029,P2006,5,0.2
OI700061,O50030,P2007,3,0.1
OI700062,O50031,P2012,3,0.0
OI700063,O50031,P2011,5,0.05
OI700064,O50032,P2011,3,0.1
OI700065,O50032,P2012,5,0.1
OI700066,O50033,P2006,4,0.05
OI700067,O50034,P2008,1,0.1
OI700068,O50034,P2009,2,0.1
OI700069,O50035,P2001,4,0.05
OI700070,O50035,P2005,4,0.0
OI700071,O50035,P2001,3,0.2
OI700072,O50036,P2010,1,0.1
OI700073,O50037,P2006,1,0.15
OI700074,O50037,P2004,4,0.15
OI700075,O50038,P2004,4,0.2
OI700076,O50038,P2012,5,0.05
OI700077,O50039,P2005,5,0.2
OI700078,O50039,P2011,1,0.05
OI700079,O50040,P2009,2,0.0
OI700080,O50040,P2002,4,0.1
OI700081,O50040,P2006,5,0.0
OI700082,O50041,P2004,5,0.2
OI700083,O50041,P2007,2,0.05
OI700084,O50041,P2003,5,0.0
OI700085,O50042,P2006,4,0.2
OI700086,O50042,P2007,4,0.1
OI700087,O50043,P2002,2,0.1
OI700088,O50043,P2001,2,0.1
OI700089,O50044,P2010,5,0.15
OI700090,O50044,P2001,3,0.15
OI700091,O50045,P2006,3,0.1
OI700092,O50045,P2007,1,0.1
OI700093,O50046,P2009,5,0.1
OI700094,O50047,P2012,4,0.1
OI700095,O50047,P2001,1,0.05
