order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O50000,C1001,2025-11-30,Delivered,Net Banking,Delhi,Karnataka
O50001,C1012,2025-09-01,Delivered,Credit Card,Kolkata,Uttar Pradesh
O50002,C1065,2025-03-04,Delivered,Credit Card,Jaipur,Haryana
O50003,C1265,2025-02-17,Delivered,Debit Card,Hyderabad,West Bengal
O50004,C1137,2025-11-14,Returned,Credit Card,Chennai,Haryana
O50005,C1212,2025-04-11,Delivered,COD,Delhi,Telangana
O50006,C1123,2025-10-07,Delivered,Debit Card,Delhi,Karnataka
O50007,C1051,2025-02-20,Cancelled,Credit Card,Delhi,Karnataka
O50008,C1111,2025-04-13,Delivered,Debit Card,Noida,Tamil Nadu
O50009,C1027,2025-04-14,Delivered,Net Banking,Lucknow,Rajasthan
O50010,C1231,2025-04-13,Delivered,Credit Card,Chennai,Maharashtra
O50011,C1055,2025-09-04,Delivered,COD,Jaipur,Gujarat
O50012,C1112,2025-11-30,Shipped,Debit Card,Mumbai,Haryana
O50013,C1294,2025-11-29,Delivered,Net Banking,Lucknow,Maharashtra
O50014,C1177,2025-15-40,Cancelled,COD,Gurugram,Maharashtra
O50015,C1137,2025-03-15,Cancelled,Debit Card,Ahmedabad,Uttar Pradesh
O50016,C1162,2025-12-17,Cancelled,UPI,Delhi,Uttar Pradesh
O50017,C1235,2025-07-17,Delivered,Net Banking,Delhi,Maharashtra
O50018,C1076,2025-07-19,Delivered,UPI,Delhi,Karnataka
O50019,C1190,2025-09-14,Cancelled,Debit Card,Jaipur,Rajasthan
O50020,C1261,2025-10-08,Delivered,COD,Mumbai,Karnataka
O50021,C1171,2025-12-14,Delivered,Debit Card,Bengaluru,Uttar Pradesh
O50022,C1133,2025-08-01,Shipped,Net Banking,Bengaluru,West Bengal
O50023,C1043,2025-08-11,Delivered,Debit Card,Jaipur,West Bengal
O50024,C1074,2025-09-30,Shipped,Credit Card,Pune,Rajasthan
O50025,C1283,2025-04-04,Cancelled,Credit Card,Delhi,Uttar Pradesh
O50026,C1162,2025-04-23,Shipped,Debit Card,Pune,Karnataka
O50027,C1090,2025-08-17,Delivered,UPI,Mumbai,Tamil Nadu
O50028,C1125,2025-01-24,Cancelled,Debit Card,Kolkata,Haryana
O50029,C1173,2025-04-27,Delivered,Debit Card,Jaipur,Uttar Pradesh
O50030,C1161,2025-09-20,Shipped,COD,Noida,Uttar Pradesh
O50031,C1209,2025-12-23,Shipped,UPI,Jaipur,Rajasthan
O50032,C1077,2025-07-09,Shipped,COD,Delhi,Tamil Nadu
O50033,C9999,2025-05-26,Delivered,Debit Card,Chennai,Maharashtra
O50034,C1132,2025-06-10,Delivered,Net Banking,Pune,West Bengal
O50035,C1282,2025-09-08,Delivered,Debit Card,Mumbai,West Bengal
O50036,C1047,2025-07-18,Delivered,Credit Card,Bengaluru,Rajasthan
O50037,C1044,2025-01-09,Delivered,COD,Mumbai,Gujarat
O50038,C1138,2025-07-16,Delivered,Credit Card,Jaipur,Gujarat
O50039,C1152,2025-05-27,Delivered,UPI,Lucknow,Haryana
O50040,C1207,2025-09-13,Shipped,Net Banking,Jaipur,Rajasthan
O50041,C1121,2025-11-16,Cancelled,Net Banking,Bengaluru,Maharashtra
O50042,C1274,2025-12-18,Delivered,COD,Hyderabad,Maharashtra
O50043,C1142,2025-08-11,Shipped,Debit Card,Bengaluru,Tamil Nadu
O50044,C1038,2025-05-13,Delivered,UPI,Jaipur,Tamil Nadu
O50045,C1035,2025-06-12,Delivered,UPI,Hyderabad,Karnataka
O50046,C1292,2025-03-06,Delivered,Debit Card,Bengaluru,Uttar Pradesh
O50047,C1040,2025-12-08,Shipped,Credit Card,Pune,Haryana
O50048,C1284,2025-11-06,Returned,COD,Pune,Uttar Pradesh
O50049,C1083,2025-11-08,Shipped,UPI,Hyderabad,Delhi
O50050,C1028,2025-04-30,Cancelled,COD,Kolkata,Rajasthan
O50051,C1091,2025-04-28,Returned,Credit Card,Bengaluru,Maharashtra
O50052,C1184,2025-11-09,Delivered,UPI,Jaipur,Karnataka
O50053,C1128,2025-07-18,Delivered,Credit Card,Jaipur,Tamil Nadu
O50054,C1235,2025-09-15,Delivered,UPI,Bengaluru,Karnataka
O50055,C1183,2025-06-28,Returned,Debit Card,Ahmedabad,Telangana
O50056,C1120,2025-06-11,Delivered,Credit Card,Gurugram,Delhi
O50057,C1190,2025-08-19,Delivered,Debit Card,Lucknow,Uttar Pradesh
O50058,C1291,2025-10-24,Cancelled,Debit Card,Mumbai,Uttar Pradesh
O50059,C1123,2025-05-02,Delivered,UPI,Hyderabad,Karnataka
O50060,C1046,2025-10-23,Shipped,UPI,Mumbai,Haryana
O50061,C1122,2025-03-31,Delivered,UPI,Bengaluru,Maharashtra
O50062,C1252,2025-05-28,Returned,UPI,Pune,Maharashtra
O50063,C1065,2025-11-30,Cancelled,UPI,Kolkata,Maharashtra
O50064,C1284,2025-12-15,Delivered,Credit Card,Delhi,Maharashtra
O50065,C1176,2025-12-04,Shipped,Debit Card,Ahmedabad,West Bengal
O50066,C1180,2025-04-26,Delivered,Credit Card,Ahmedabad,Uttar Pradesh
O50067,C1095,2025-11-04,Delivered,Credit Card,Hyderabad,Maharashtra
O50068,C1276,2025-12-08,Delivered,Debit Card,Hyderabad,Karnataka
O50069,C1010,2025-12-24,Shipped,Debit Card,Kolkata,Telangana
O50070,C1089,2025-01-08,Delivered,Credit Card,Gurugram,Gujarat
O50071,C1125,2025-09-29,Delivered,Credit Card,Kolkata,Uttar Pradesh
O50072,C1143,2025-12-30,Delivered,Debit Card,Gurugram,Maharashtra
O50073,C1142,2025-10-07,Delivered,UPI,Kolkata,Telangana
O50074,C1044,2025-03-27,Delivered,Debit Card,Mumbai,Delhi
O50075,C1067,2025-10-06,Delivered,COD,Kolkata,Tamil Nadu
O50076,C1028,2025-02-08,Delivered,Credit Card,Jaipur,Uttar Pradesh
O50077,C1171,2025-06-25,Cancelled,UPI,Gurugram,Delhi
O50078,C1105,2025-08-17,Delivered,Net Banking,Chennai,West Bengal
O50079,C1169,2025-06-16,Delivered,UPI,Bengaluru,Haryana
O50080,C1176,2025-09-13,Returned,UPI,Mumbai,Karnataka
O50081,C1210,2025-03-29,Delivered,UPI,Chennai,Uttar Pradesh
O50082,C1164,2025-08-10,Shipped,COD,Lucknow,West Bengal
O50083,C1194,2025-08-24,Delivered,COD,Delhi,Rajasthan
O50084,C1176,2025-08-20,Cancelled,Debit Card,Lucknow,Telangana
O50085,C1195,2025-04-16,Shipped,Net Banking,Ahmedabad,Gujarat
O50086,C1184,2025-04-22,Cancelled,Net Banking,Hyderabad,Karnataka
O50087,C1094,2025-04-05,Delivered,Net Banking,Chennai,Haryana
O50088,C1073,2025-06-18,Delivered,Debit Card,Pune,Uttar Pradesh
O50089,C1236,2025-08-02,Shipped,COD,Noida,Haryana
O50090,C1102,2025-05-13,Delivered,Net Banking,Hyderabad,Haryana
O50091,C1164,2025-05-30,Delivered,UPI,Jaipur,Maharashtra
O50092,C1059,2025-04-15,Delivered,Credit Card,Gurugram,Haryana
O50093,C1129,2025-03-21,Returned,COD,Kolkata,Tamil Nadu
O50094,C1158,2025-08-28,Delivered,Debit Card,Kolkata,Uttar Pradesh
